 N->U%, TraceRecall_T,  TraceRecall_NT,percentage 
13,,100,]0-20[
7,,100,]0-20[
41,,100,[40-60[
79,,44,[60-80[
26,,100,[20-40[
18,85,80,]0-20[
81,100,87,[80-100]
89,,100,[80-100]
16,,100,]0-20[
62,66,0,[60-80[
0,0,96,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,85,85,0
0,75,93,0
0,,100,0
0,,100,0
0,25,100,0
