T->N%, TracePrecision_T, TracePrecision_NT,
25,,93,[20-40[
20,,100,[20-40[
25,,90,[20-40[
31,100,90,[20-40[
20,,100,[20-40[
25,,96,[20-40[
38,,94,[20-40[
29,80,57,[20-40[
38,100,96,[20-40[
25,100,89,[20-40[
25,,96,[20-40[
25,,89,[20-40[
38,0,91,[20-40[
25,,96,[20-40[
25,,89,[20-40[
38,66,87,[20-40[
35,100,86,[20-40[
50,,97,[40-60[
50,,94,[40-60[
40,,85,[40-60[
40,,100,[40-60[
50,,97,[40-60[
50,,90,[40-60[
50,,94,[40-60[
49,88,59,[40-60[
54,50,87,[40-60[
50,,97,[40-60[
50,,96,[40-60[
59,100,56,[40-60[
40,,100,[40-60[
50,,96,[40-60[
50,,94,[40-60[
50,,100,[40-60[
50,,94,[40-60[
40,100,86,[40-60[
50,,97,[40-60[
50,,96,[40-60[
50,,94,[40-60[
54,,82,[40-60[
40,,100,[40-60[
50,,100,[40-60[
50,,94,[40-60[
40,,100,[40-60[
50,,100,[40-60[
50,,94,[40-60[
41,92,86,[40-60[
54,100,93,[40-60[
50,,94,[40-60[
60,,100,[60-80[
75,,100,[60-80[
63,100,56,[60-80[
65,,83,[60-80[
63,0,91,[60-80[
63,,94,[60-80[
75,,100,[60-80[
75,,91,[60-80[
69,100,87,[60-80[
70,100,84,[60-80[
75,,100,[60-80[
75,,100,[60-80[
75,,91,[60-80[
61,100,54,[60-80[
65,,88,[60-80[
75,,97,[60-80[
75,,90,[60-80[
75,,100,[60-80[
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
80,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
93,,40,[80-100]
88,,92,[80-100]
100,,100,[80-100]
100,,100,[80-100]
83,100,68,[80-100]
92,,82,[80-100]
100,,100,[80-100]
100,,100,[80-100]
88,,40,[80-100]
80,,81,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
85,100,86,[80-100]
80,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
90,,45,[80-100]
15,50,87,]0-20[
13,0,93,]0-20[
15,60,96,]0-20[
13,0,93,]0-20[
13,0,96,]0-20[
0,0,96,0
0,,100,0
0,,100,0
0,,96,0
0,,100,0
0,,100,0
0,,100,0
0,,89,0
0,,96,0
0,85,85,0
0,60,96,0
0,,100,0
0,,100,0
0,100,89,0
